id,ts,question,retriever_type,k,report_excerpt,faithfulness,answer_relevance,context_precision,context_recall
f46930881d96,2026-05-04T01:09:39,"만 28세 사회초년생입니다. 현재 연봉은 3500만원이고 1인 가구입니다. 보증금 5000만원에 월세 50만원 정도 하는 집을 보고 있는데, 보증금이 부족해서 대출을 알아보고 있어요. 서울시에서 이자를 지원해주는 정책이 있다고 들었는데 맞나요?",VectorStore+BM25,3,"```json {   ""summary"": ""사용자는 만 28세의 사회초년생으로, 현재 연봉 3500만원에 1인 가구로 보증금 부족 문제를 겪고 있습니다. 서울시의 다양한 지원 정책을 통해 주거비 부담을 줄일 수 있는",1.0,0.8310645700433592,1.0,0.6666666666666666
a05c5be53b32,2026-05-04T01:09:48,만 20세 대학생인데 부모님 도움 없이 혼자 자취방을 구해야 합니다. 알바로 월 100만원 정도 벌고 있고 자산은 거의 없어요. 보증금이랑 월세를 같이 지원받거나 대출받을 수 있는 금융 정책이 있을까요?,VectorStore+BM25,3,"```json {   ""summary"": ""사용자는 만 20세 대학생으로, 부모님의 도움 없이 자취방을 구해야 합니다. 월 100만원의 수입이 있지만 자산이 거의 없는 상황에서, 서울시의 청년 주택 지원 정책을 통해",1.0,0.8767379551979864,1.0,0.0
9e5cf22320c3,2026-05-04T01:09:49,30대 초반 직장인이고 내년에 결혼할 예정인 예비 신혼부부입니다. 둘이 합쳐서 연봉은 7000만원 정도 되고 자산은 2억 정도 있어요. 서울에서 전세집을 구하려고 하는데 저금리로 대출 지원을 받을 수 있는 금융 정책이 궁금합니다.,VectorStore+BM25,3,"```json {   ""summary"": ""예비 신혼부부인 귀하의 상황에 맞춰 서울시에서 제공하는 금융 지원 정책을 추천드립니다. 이자 지원을 통해 주거비 부담을 줄이고, 전세집을 구하는 데 도움이 될 것입니다."",",1.0,0.8524687221869233,1.0,0.6666666666666666
435162bc6dc1,2026-05-04T01:09:56,32살 1인 가구이고 연 소득은 4500만원입니다. 현재 자산은 1억 원 정도 보유하고 있어요. 중소기업에 다니고 있는데 전세 자금 대출을 가장 유리하게 받을 수 있는 국가 지원 금융 상품이 무엇인가요?,VectorStore+BM25,3,"```json {   ""summary"": ""사용자는 32세 1인 가구로 연 소득 4500만원, 자산 1억원을 보유하고 있습니다. 전세 자금 대출을 위한 국가 지원 금융 상품으로 '버팀목전세자금'을 추천합니다."",  ",1.0,1.0,1.0,0.0
f9b1c0d6a563,2026-05-04T01:09:57,만 24세 무직이고 혼자 살고 있어요. 이번에 서울 도봉구로 이사하게 되었는데 부동산 중개수수료랑 이사비가 너무 부담되네요. 지원받을 수 있는 방법이 있을까요? 자산은 거의 없습니다.,VectorStore+BM25,3,"```json {   ""summary"": ""사용자는 만 24세 무직 청년으로 도봉구로 이사하면서 월세와 이사비 부담이 크기 때문에 서울시의 청년월세지원사업이 적합합니다. 이 정책을 통해 최대 240만 원의 지원금을 ",0.7096774193548387,0.834626611269459,0.8874999999778125,0.3333333333333333
86f2f1371c4e,2026-05-04T01:12:23,"만 27세 여성이고 연봉 3200만원에 자산은 5000만원 정도 있습니다. 이번에 경기도에서 서울 성북구로 전입하게 되었는데, 전입 시 발생하는 비용을 지원해주는 금융 정책이 서울시에 있나요?",VectorStore+BM25,3,"```json {   ""summary"": ""사용자는 만 27세 여성으로, 연봉 3200만원과 자산 5000만원을 보유하고 있습니다. 서울 성북구로 전입하면서 월세 부담을 줄일 수 있는 다양한 정책이 존재합니다."", ",0.3333333333333333,1.0,1.0,1.0
44e74dd49201,2026-05-04T09:17:20,"저는 29살이고, 수도권에서 세대주로 살고 있어요. 전세 계약을 갱신했는데 대출을 다시 받을 수 있을까요? 어떻게 신청해야 하는지 궁금해요.",VectorStore+BM25,3,"```json {   ""summary"": ""29세의 세대주로서 전세 계약을 갱신한 상황에서 대출을 고려하고 계신 사용자에게 적합한 정책을 추천드립니다. 청년 임차보증금 이자지원사업을 통해 이자 부담을 줄일 수 있으며",0.0,0.8084234612536143,1.0,1.0
22f3cd09d7d5,2026-05-04T09:17:30,"저는 25살이고 단독세대주로 살고 있어요. 월세가 너무 부담스럽긴 한데, 어떤 지원이 있을까요?",VectorStore+BM25,3,"```json {   ""summary"": ""25세의 단독세대주로서 월세 부담이 크신 상황에서, 서울시에서 제공하는 다양한 주택 지원 정책이 있습니다. 특히 전세임대와 보증금 지원 프로그램을 통해 월세 부담을 줄일 수",0.9230769230769231,0.8654930942935701,1.0,0.5
36f6f8babdcd,2026-05-04T09:17:32,"저는 29살이고, 결혼한 지 2년 된 신혼부부인데요. 지금 전세자금을 대출받고 싶은데, 최대 한도가 얼마인지 궁금해요.",VectorStore+BM25,3,"```json {   ""summary"": ""29세의 신혼부부로서 전세자금을 대출받고자 하시는 상황에 적합한 정책을 안내드립니다. 최대 1.5억원까지 대출 가능한 청년전용 버팀목전세자금이 특히 유리할 것입니다."",  ",0.5357142857142857,0.8184848639582375,1.0,1.0
6a2d9aa36312,2026-05-04T09:17:34,"저는 28살이고 무주택으로 전세 계약을 하려고 하는데, 대출 신청은 언제까지 해야 하나요?",VectorStore+BM25,3,"```json {   ""summary"": ""28세의 무주택자로 전세 계약을 고려하고 계신 상황에서, 청년을 위한 주택 정책을 활용하면 주거 안정성을 높일 수 있습니다. 대출 신청은 전세 계약 체결 전 미리 준비하는 ",0.5652173913043478,0.8330413034135149,1.0,0.5
